horizon,policy,success,final_error,swap,proxy_loss,rebind_precision,reacq_success,search,delay,waste,safety,progress,utility,weight
h00,active_search_proxy,0.7213059241032507,0.06539765354666537,0.0824682268586666,0.06573301503999984,0.7502709333333321,0.7035984000000588,0.7388552373333332,0.4776907806933332,0.2849750557588749,0.056512421393066815,0.6302238080000062,0.47246315661654625,3677184000
h00,identity_gate,0.45492680000640023,0.19531287299413375,0.11050408820266684,0.257797442559999,0.6037490666666541,0.25535519999998696,0.15445001333333302,0.11536500133333324,0.109457128738131,0.060401269830400055,0.4992804091903996,0.16913270372052405,3677184000
h00,last_seen_belief,0.3983726293333335,0.21917333333332825,0.3446431999999998,0.1819039999999967,0.32232160000000154,0.11349120000000001,0.053780005333333304,0.05328000000000061,0.06306666666666577,0.057802419480533544,0.5821616000000025,-0.08303178742980885,3677184000
h00,loose_proxy,0.3328508082598403,0.11682394316800229,0.5209910666666654,0.050999289600000594,0.19477013333333215,0.1702368000000046,0.0806700080000006,0.06328000000000304,0.08459999999999211,0.07781353963200019,0.5665736079999989,-0.2432593266157583,3677184000
h00,oracle_proxy,0.9735735999999969,0.01884941338666647,0.0011768991603863046,0.015762440319999543,0.9850000000001695,0.9085839999999985,0.24298002666666596,0.09291920106666642,0.028650000000002045,0.020683999999999828,0.9565455999999763,0.9987341660019495,3677184000
h00,proxy_reacquisition,0.7712466077309829,0.08380618621439771,0.1451671186453333,0.08225789567999854,0.6600495999999888,0.586041600000003,0.5327852399999999,0.330988457599999,0.1737664908371839,0.07263218044160005,0.7339338239999811,0.4835560917703236,3677184000
h00,risk_calibrated_proxy,0.7153632845006651,0.07273003956906682,0.08265780800743114,0.08023044394666566,0.790958666666618,0.6553343999999858,0.28172185999999966,0.18854993480000204,0.12449178770683211,0.058714574879288974,0.8192055039999937,0.6293087838042248,3677184000
h00,visible_only,0.35781360000001206,0.30991733333333493,0.020091666666667913,0.3914559999999596,0.50252160000008,0.03674559999999723,0.0,0.03663999999999784,0.03653333333333459,0.05489780211111144,0.5074879999999743,0.09738914815707192,3677184000
h01,active_search_proxy,0.7182887128392554,0.06873309866666374,0.0824682268586666,0.07455108352000109,0.7502709333333321,0.7035984000000588,0.7472619573333334,0.4805490654933322,0.28091301035858796,0.056512421393066815,0.6188478079999954,0.46169752127976077,3677184000
h01,identity_gate,0.44375588691072076,0.20911157868373131,0.11050408820266684,0.2743235852799977,0.6037490666666541,0.25535519999998696,0.15745241333333324,0.11566524133333322,0.11077922015573351,0.060401269830400055,0.47957222635519353,0.14330150027585473,3677184000
h01,last_seen_belief,0.3641737813333338,0.2591333333333381,0.37344320000000014,0.2305519999999903,0.32232160000000154,0.11349120000000001,0.05498096533333335,0.05328000000000061,0.06306666666666577,0.05923834908053348,0.5659208000000092,-0.18012153855868657,3677184000
h01,loose_proxy,0.32969633854592034,0.12604719078399446,0.5209910666666654,0.05558988480000265,0.19477013333333215,0.1702368000000046,0.08247144800000052,0.06328000000000304,0.08459999999999211,0.07781353963200019,0.5551976079999984,-0.25292486458811203,3677184000
h01,oracle_proxy,0.9720975999999837,0.01968327466666664,0.001008549352297738,0.01741582815999996,0.9850000000001695,0.9085839999999985,0.2489848266666662,0.09315939306666657,0.028650000000002045,0.020683999999999828,0.9349456000000296,0.9987715234228857,3677184000
h01,proxy_reacquisition,0.7660212051850644,0.08906460318719894,0.1451671186453333,0.09438273983999919,0.6600495999999888,0.586041600000003,0.5417924399999995,0.3331501856000005,0.17252298389884227,0.07263218044160005,0.716869824000016,0.46676920109781667,3677184000
h01,risk_calibrated_proxy,0.7103356371324733,0.07748808050346614,0.08265780800743114,0.0920567396266675,0.790958666666618,0.6553343999999858,0.2952326599999994,0.2005818788000016,0.12449101392830446,0.058714574879288974,0.7983495040000114,0.6101839024609051,3677184000
h01,visible_only,0.3155932799999873,0.3531893333333237,0.020091666666667913,0.45212800000000425,0.50252160000008,0.03674559999999723,0.0,0.03663999999999784,0.03653333333333459,0.05489780211111144,0.48094400000005805,0.01535970479540144,3677184000
h02,active_search_proxy,0.7134309488712542,0.07418370410666565,0.0824682268586666,0.0882804812799993,0.7502709333333321,0.7035984000000588,0.7629665973333312,0.48588864309333385,0.2730001150314157,0.056512421393066815,0.6011358079999867,0.4447472660069115,3677184000
h02,identity_gate,0.42622952854655966,0.2314310824789333,0.11050408820266684,0.3000541619200002,0.6037490666666541,0.25535519999998696,0.16306121333333343,0.1162261213333337,0.11283766628693373,0.060401269830400055,0.4488873340927985,0.10261803564797062,3677184000
h02,last_seen_belief,0.3119540053333332,0.31965333333332374,0.4150431999999998,0.3129279999999927,0.32232160000000154,0.11349120000000001,0.05722448533333344,0.05328000000000061,0.06306666666666577,0.06131246961386678,0.5399712000000535,-0.33113648132197077,3677184000
h02,loose_proxy,0.32470292367488035,0.14109098137600085,0.5209910666666654,0.06273726720000133,0.19477013333333215,0.1702368000000046,0.08583672799999964,0.06328000000000304,0.08459999999999211,0.07781353963200019,0.537485608000004,-0.2682843393060753,3677184000
h02,oracle_proxy,0.9696856,0.02104592602666702,0.0012068023539441519,0.019990090239999602,0.9850000000001695,0.9085839999999985,0.2602024266666672,0.09360809706666683,0.028650000000002045,0.020683999999999828,0.9037455999999735,0.9987575471100503,3677184000
h02,proxy_reacquisition,0.7578358019300331,0.09758275822080134,0.1451671186453333,0.11326066175999756,0.6600495999999888,0.586041600000003,0.5586188400000008,0.33718852159999935,0.17002610713383684,0.07263218044160005,0.6903018239999945,0.44040989868846314,3677184000
h02,risk_calibrated_proxy,0.7024527027877728,0.0852021601962654,0.08265780800743114,0.1106169437866661,0.790958666666618,0.6553343999999858,0.320472260000002,0.2243250067999984,0.12427222518484839,0.058714574879288974,0.7658775039999989,0.5791605329166896,3677184000
h02,visible_only,0.24962543999999226,0.4218533333333315,0.020091666666667913,0.5465919999999991,0.50252160000008,0.03674559999999723,0.0,0.03663999999999784,0.03653333333333459,0.05489780211111144,0.439616000000059,-0.11287905193372842,3677184000
h03,active_search_proxy,0.7147027591752517,0.07478028778666677,0.0824682268586666,0.08426212096000027,0.7502709333333321,0.7035984000000588,0.7608206773333318,0.4851590302933329,0.2741062915578741,0.056512421393066815,0.6063198080000034,0.44903159956675165,3677184000
h03,identity_gate,0.4302211183116813,0.23201152039253484,0.11050408820266684,0.29252326143999724,0.6037490666666541,0.25535519999998696,0.16229481333333365,0.11614948133333336,0.11223519424853465,0.060401269830400055,0.4578682781695964,0.1119650450230768,3677184000
h03,last_seen_belief,0.320041237333333,0.3110933333333432,0.40224320000000063,0.32169599999997905,0.32232160000000154,0.11349120000000001,0.05691792533333324,0.05328000000000061,0.06306666666666577,0.0606742786805333,0.5442784000000177,-0.3143807735495153,3677184000
h03,loose_proxy,0.32546604607616025,0.1425076280319977,0.5209910666666654,0.06064535040000158,0.19477013333333215,0.1702368000000046,0.08537688800000046,0.06328000000000304,0.08459999999999211,0.07781353963200019,0.5426696079999994,-0.2657457296804875,3677184000
h03,oracle_proxy,0.9694215999999966,0.021195071946666755,0.0010136087154241319,0.01923664767999934,0.9850000000001695,0.9085839999999985,0.25866962666666604,0.09354678506666657,0.028650000000002045,0.020683999999999828,0.9133455999999663,0.9987518128727083,3677184000
h03,proxy_reacquisition,0.7598088094513074,0.097907774745602,0.1451671186453333,0.1077354163200016,0.6600495999999888,0.586041600000003,0.5563196400000008,0.33663671360000075,0.17038064679038656,0.07263218044160005,0.6980778240000203,0.4469235763804104,3677184000
h03,risk_calibrated_proxy,0.7042909654079311,0.08554959008426444,0.08265780800743114,0.10643719338666671,0.790958666666618,0.6553343999999858,0.3170234600000015,0.21890422279999922,0.12431882147713612,0.058714574879288974,0.7753815040000073,0.5858643095726765,3677184000
h03,visible_only,0.26695439999999293,0.41274933333333547,0.020091666666667913,0.5189440000000207,0.50252160000008,0.03674559999999723,0.0,0.03663999999999784,0.03653333333333459,0.05489780211111144,0.4517120000000253,-0.07931554349024995,3677184000
h04,active_search_proxy,0.7164180007752515,0.07139060778666599,0.0824682268586666,0.0794624128000003,0.7502709333333321,0.7035984000000588,0.7550526773333319,0.4831979102933333,0.2770404475545457,0.056512421393066815,0.6125118080000077,0.455293781417864,3677184000
h04,identity_gate,0.4371188416422409,0.21939237678933218,0.11050408820266684,0.2835280191999962,0.6037490666666541,0.25535519999998696,0.16023481333333361,0.11594348133333333,0.11151557486933045,0.060401269830400055,0.46859551692799545,0.12782828705508223,3677184000
h04,last_seen_belief,0.344280853333334,0.28209333333333353,0.3862432000000001,0.2722800000000053,0.32232160000000154,0.11349120000000001,0.05609392533333333,0.05328000000000061,0.06306666666666577,0.05987654001386673,0.5554119999999999,-0.2409119487053201,3677184000
h04,loose_proxy,0.3276845933888018,0.13330773376000318,0.5209910666666654,0.0581466719999983,0.19477013333333215,0.1702368000000046,0.08414088799999939,0.06328000000000304,0.08459999999999211,0.07781353963200019,0.5488616079999992,-0.2590888671651252,3677184000
h04,oracle_proxy,0.9709215999999995,0.020347651946666857,0.0012012744878180494,0.01833670239999961,0.9850000000001695,0.9085839999999985,0.2545496266666673,0.09338198506666638,0.028650000000002045,0.020683999999999828,0.9253456000000039,0.9987392885109737,3677184000
h04,proxy_reacquisition,0.7629566086359483,0.09302164684800082,0.1451671186453333,0.10113581760000108,0.6600495999999888,0.586041600000003,0.5501396400000006,0.33515351360000106,0.17131265031614631,0.07263218044160005,0.7073658239999894,0.4568136898240438,3677184000
h04,risk_calibrated_proxy,0.7073643185041218,0.08108873954986583,0.08265780800743114,0.0991005617066673,0.790958666666618,0.6553343999999858,0.3077534599999988,0.21243562279999745,0.12441786652433594,0.058714574879288974,0.7867335040000023,0.5977293745578514,3677184000
h04,visible_only,0.29135616000000536,0.38130133333331945,0.020091666666667913,0.4859199999999933,0.50252160000008,0.03674559999999723,0.0,0.03663999999999784,0.03653333333333459,0.05489780211111144,0.46615999999998853,-0.031791053236016074,3677184000
h05,active_search_proxy,0.711437076871251,0.07757338410666868,0.0824682268586666,0.09367550208000064,0.7502709333333321,0.7035984000000588,0.770526597333332,0.48845904309333293,0.26904020002597523,0.056512421393066815,0.5941758079999961,0.43767107573327185,3677184000
h05,identity_gate,0.41869456821375955,0.2442510500949341,0.11050408820266684,0.31016509311999846,0.6037490666666541,0.25535519999998696,0.16576121333333368,0.11649612133333359,0.11364654078293274,0.060401269830400055,0.4368295851007975,0.0851554725482288,3677184000
h05,last_seen_belief,0.2873319253333337,0.3486533333333307,0.4310432000000007,0.3640079999999781,0.32232160000000154,0.11349120000000001,0.05830448533333343,0.05328000000000061,0.06306666666666577,0.06211020828053331,0.5279031999999969,-0.40607192464728203,3677184000
h05,loose_proxy,0.32234316119167905,0.15031566873600713,0.5209910666666654,0.06554585920000135,0.19477013333333215,0.1702368000000046,0.0874567279999996,0.06328000000000304,0.08459999999999211,0.07781353963200019,0.5305256079999985,-0.2755029763678823,3677184000
h05,oracle_proxy,0.9681855999999922,0.021893346026666045,0.0007486565753494993,0.021001656640000595,0.9850000000001695,0.9085839999999985,0.2656024266666659,0.0938240970666669,0.028650000000002045,0.020683999999999828,0.8917456000000441,0.9987557397319726,3677184000
h05,proxy_reacquisition,0.7543786600868266,0.10253437050880151,0.1451671186453333,0.12067881536000044,0.6600495999999888,0.586041600000003,0.5667188400000004,0.3391325216000009,0.16874338309863746,0.07263218044160005,0.6798618240000045,0.4292880974600846,3677184000
h05,risk_calibrated_proxy,0.6990881056268127,0.08971658886826399,0.08265780800743114,0.11862330218666732,0.790958666666618,0.6553343999999858,0.3326222600000017,0.23451200680000084,0.1240659513408481,0.058714574879288974,0.7531175040000064,0.5657081174735306,3677184000
h05,visible_only,0.22257664000000377,0.45509333333333807,0.020091666666667913,0.5837119999999909,0.50252160000008,0.03674559999999723,0.0,0.03663999999999784,0.03653333333333459,0.05489780211111144,0.42337600000003134,-0.16542763810871486,3677184000
